alpha_id,segment,benchmark,window_minutes,sampling_minutes,mean,std,p05,p95
LT_MR_Z_1440,validation,BTC_SPOT,1440,5,-0.015739251186955735,0.714681394216981,-1.0621976476762605,1.0033514110485215
LT_MR_Z_1440,train,ETH_SPOT,60,5,-0.03147905132233844,0.7225166705566386,-1.0781762216477524,0.9685386921232114
LT_MR_Z_1440,validation,ETH_SPOT,60,5,-0.025330424569074413,0.6834481168209372,-1.0988281488686737,0.9760116012191071
LT_MR_Z_1440,train,ETH_SPOT,240,5,-0.03012859673577111,0.6865863247944196,-1.0101641093607685,0.8988225676925803
LT_MR_Z_1440,validation,ETH_SPOT,240,5,-0.026884871480572867,0.6485705268630723,-1.0159030427726168,0.8947660719323841
LT_MR_Z_1440,train,ETH_SPOT,1440,5,-0.020386256216368113,0.5595487125603001,-0.9014840014262098,0.7900837520321005
LT_MR_Z_1440,validation,ETH_SPOT,1440,5,-0.025512308517141803,0.5526848354026104,-0.9111772652258894,0.7667760137820291
LT_OFI_0240,train,BTC_SPOT,60,5,0.014181760204354571,0.9025375880704329,-1.050612586311664,1.0375714870820192
LT_OFI_0240,validation,BTC_SPOT,60,5,0.013642149389646018,0.9062261308928832,-1.0545791923508434,1.0484880739553437
LT_OFI_0240,train,BTC_SPOT,240,5,0.013370121759823618,0.8277426660065109,-1.0254435200077736,1.0139654525587922
LT_OFI_0240,validation,BTC_SPOT,240,5,0.009522344867329094,0.8239174158510314,-1.0284334562535884,1.0194050740107634
LT_OFI_0240,train,BTC_SPOT,1440,5,0.011420395260160846,0.5778432199107056,-0.9274358080225339,0.9678407326632938
LT_OFI_0240,validation,BTC_SPOT,1440,5,0.022253496971455976,0.5393557847698902,-0.8563808861985177,0.892699635536315
LT_OFI_0240,train,ETH_SPOT,60,5,0.01263642645176295,0.6581483490139947,-0.9582315171701477,0.9646620221933337
LT_OFI_0240,validation,ETH_SPOT,60,5,0.01694834608753611,0.7125590460666476,-1.0080540388937633,1.0396999287550566
LT_OFI_0240,train,ETH_SPOT,240,5,0.014109198219939093,0.5894081024260631,-0.8559996922747547,0.8787650978238513
LT_OFI_0240,validation,ETH_SPOT,240,5,0.012051345322910658,0.6299380029023658,-0.8915802598948716,0.9214585608230623
LT_OFI_0240,train,ETH_SPOT,1440,5,0.012212456507939855,0.40224752347817594,-0.619416769364549,0.6794387689263996
LT_OFI_0240,validation,ETH_SPOT,1440,5,0.01580989797456609,0.42266716324567716,-0.6601468320476208,0.6925815114054938
LT_OFI_0720,train,BTC_SPOT,60,5,0.005466960101854206,0.9212891414852303,-1.0781683819121357,1.0390829525845602
LT_OFI_0720,validation,BTC_SPOT,60,5,0.04351923456570946,0.9258357529799425,-1.0678285442761397,1.0489913029739653
LT_OFI_0720,train,BTC_SPOT,240,5,0.005557110472528316,0.9010652250492847,-1.0584565105087522,1.0199540045281623
LT_OFI_0720,validation,BTC_SPOT,240,5,0.042208436462522356,0.9028166079179675,-1.045885318077631,1.025555131804514
LT_OFI_0720,train,BTC_SPOT,1440,5,-0.0024423844288295735,0.7520675470998066,-1.0274657060490324,1.0033413569684972
LT_OFI_0720,validation,BTC_SPOT,1440,5,0.0313215734270741,0.7352665618576801,-1.0085319922074627,1.009565591235677
LT_OFI_0720,train,ETH_SPOT,60,5,0.005582581199524098,0.6728517291567565,-0.9805783758177655,0.9751519970874625
LT_OFI_0720,validation,ETH_SPOT,60,5,0.03413205895306687,0.729954661717228,-1.0389390639038776,1.0435837104693118
